Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
Japan,2022.0,Enterprise-wide asynchronous archive,Manned,Nicholsshire,Research,34.62,52.0,Nuclear Propulsion,Medium,"UK, China, Israel",58.0,52.0,Medium,0.856
Israel,2011.0,Advanced well-modulated core,Unmanned,Swansontown,Weather,22.5,93.0,Nuclear Propulsion,Medium,UK,279.0,93.0,Medium,0.883
USA,2017.0,Configurable needs-based success,Manned,East Johnport,Navigation,12.45,91.0,Reusable Rocket,Low,"India, UAE, UK",150.0,15.0,Low,0.297
Israel,2022.0,Persistent multi-tasking concept,Manned,Davidburgh,Research,7.36,75.0,Reusable Rocket,High,Germany,229.0,72.0,Low,0.824
France,2001.0,Virtual bifurcated capacity,Manned,Lake Angelamouth,Navigation,19.19,55.0,Nuclear Propulsion,Low,"USA, Russia, Germany",314.0,61.0,Low,0.358
Israel,2005.0,Proactive discrete architecture,Unmanned,North Curtisland,Navigation,37.07,78.0,Traditional Rocket,Low,"Japan, Germany, Russia",324.0,21.0,Medium,0.099
USA,2012.0,Compatible hybrid encryption,Unmanned,Flynnland,Weather,0.96,91.0,Reusable Rocket,Medium,Russia,166.0,83.0,High,0.758
India,2004.0,Optimized asynchronous collaboration,Manned,South Donaldfort,Research,19.38,73.0,Reusable Rocket,Low,Japan,297.0,87.0,High,0.596
USA,2020.0,Customizable grid-enabled function,Manned,East Deannatown,Weather,38.57,58.0,AI Navigation,Medium,Japan,29.0,75.0,Low,0.274
Japan,2015.0,Open-architected multi-state solution,Unmanned,North Jon,Weather,30.32,67.0,Solar Propulsion,Low,Israel,73.0,75.0,High,0.253
Germany,2020.0,Focused fresh-thinking framework,Manned,Wrightshire,Weather,42.92,100.0,Reusable Rocket,Low,"Russia, UAE, China",218.0,88.0,Low,0.976
UAE,2022.0,Stand-alone multi-state firmware,Unmanned,Elijahfurt,Communication,31.57,73.0,Nuclear Propulsion,High,"UK, UAE",281.0,100.0,High,0.863
Russia,2010.0,Managed exuding benchmark,Manned,Port Tiffany,Research,26.89,61.0,Solar Propulsion,Medium,"France, Russia, Israel",128.0,24.0,Medium,0.81
UAE,2015.0,Implemented dynamic workforce,Unmanned,Hallport,Weather,34.85,93.0,AI Navigation,Medium,Germany,163.0,3.0,Low,0.128
USA,2020.0,Self-enabling global firmware,Manned,Jessicamouth,Communication,36.3,73.0,AI Navigation,Medium,China,337.0,22.0,High,0.755
Israel,2016.0,Synchronized needs-based capability,Unmanned,Francoshire,Weather,7.26,63.0,Solar Propulsion,Medium,UK,47.0,53.0,Medium,0.215
Israel,2021.0,Fundamental eco-centric software,Manned,South Rebeccahaven,Communication,43.98,100.0,Traditional Rocket,Low,Russia,137.0,2.0,High,0.977
UK,2015.0,Networked intangible knowledge user,Unmanned,Lake Kathyfort,Navigation,33.68,100.0,Reusable Rocket,Medium,"USA, China, UK",191.0,88.0,,0.052
Israel,2008.0,Business-focused maximized artificial intelligence,Unmanned,West Johnborough,Navigation,21.3,83.0,Solar Propulsion,Low,"Russia, Israel",325.0,30.0,Medium,0.352
Germany,2000.0,Exclusive cohesive process improvement,Unmanned,Herreraland,Spy,18.41,96.0,Reusable Rocket,Low,Russia,88.0,38.0,High,0.429
China,2001.0,Cloned analyzing portal,Manned,Joelhaven,Spy,4.17,75.0,Solar Propulsion,High,"Russia, UK, UAE",17.0,2.0,High,0.824
Japan,2016.0,Up-sized 5thgeneration info-mediaries,Manned,East Nicoleside,Spy,2.51,86.0,Solar Propulsion,Low,UK,78.0,64.0,Medium,0.766
UAE,2001.0,Upgradable attitude-oriented archive,Unmanned,Port Bridget,Navigation,41.11,88.0,Traditional Rocket,Medium,"Israel, USA",256.0,60.0,Medium,0.375
